Class D (Microfinance Financial Institutions),,,,,
# * Joint operation date after merger.,,,,,
"# Paid-up capital based on the financial statement of Mid Jan, 2021",,,,,
SN,Name,Operation Date (A.D.),Head Office,Paid up Capital,Working Area
1,Nirdhan Utthan  Laghubitta Bittiya Sanstha Ltd.,1999/07/17,"Naxal, Kathmandu",150,National Level
2,RMDC  Laghubitta Bittiya Sanstha Ltd.,1999/12/06,"Putalisadak, Kathmandu",103.42,National Level
3,Deprosc  Laghubitta Bittiya Sanstha Ltd.,2001/07/03,"Bharatpur, Chitwan",100.54,National Level
4,Chhimek Laghubitta Bittiya Sanstha Ltd.,2001/12/10,"Old Baneshwor, Kathmandu",183,National Level
5,Shawalamban Laghubitta Bittiya Sanstha Ltd.,2002/02/22,"Baluwatar, Kathmandu",79.24,National Level
6,Sana Kisan Bikas  Laghubitta Bittiya Sanstha Ltd.,2002/03/11,"Subidhanagar, Kathmandu",125.03,National Level
7,Nerude  Laghubitta Bittiya Sanstha Ltd.,2007/06/15,"Biratnagar, Morang",45.73,National Level
8,Mithila Laghubitta Bittiya Sanstha Ltd.,2009/04/29,"Dhalkebar, Dhanusha",12.17,Province No. 2
9,Sworojagar Laghubitta Bittiya Sanstha Ltd.,2009/12/16,"Banepa, Kavre",36.59,National Level
10,First Microfinance Laghubitta Bittiya Sanstha Ltd.,2009/12/28,"Gyaneshwor, Kathmandu",87.68,National Level
11,Kalika Laghubitta Bittiya Sanstha Ltd.,2020/01/08*,"Pokhara, Kaski",25.23,National Level
12,Mirmire Laghubitta Bittiya Sanstha Ltd.,2010/09/23,"Banepa, Kavre",39.61,National Level
13,Janautthan Samudayik Laghubitta Bittiya Sanstha Ltd.,2010/11/09,"Butwal, Rupandehi",7.92,"19 District Level (Kailali, Kanchanpur, Banke, Bardiya, Dang, Kapilvastu, Rupandehi, Nawalparasi East, Nawalparasi West, Chitwan, Parsa, Surkhet, Dadeldhura, Gulmi,Palpa, Tanahu, Arghakhachi, Pyuthan, Salyan)"
14,Womi Laghubitta Bittiya Sanstha Ltd.,2019/12/16*,"Banepa, Kavre",27.78,National Level
15,Laxmi Lighubitta Bittiya Sanstha Ltd.,2012/06/04,"Maharajgunj, Kathmandu",32,National Level
16,Civil Laghubitta Bittiya Sanstha Ltd.,2012/07/05,"Chuchepati , Kathmandu",23.39,National Level
17,Mahila Sahayatra Laghubitta Bittiya Sanstha Ltd.,2012/12/25,"Chitlang, Makwanpur",13.31,National Level
18,Vijaya Laghubitta Bittiya Sanstha Ltd.,2013/03/28,"Gaidakot, Nawalparasi",22.4,National Level
19,NMB Laghubitta Bittiya Sanstha Ltd.,2013/03/31,"Pokhara-Hemja, Kaski",53.98,National Level
20,FORWARD Microfinance Laghubitta Bittiya Sanstha Ltd.,2013/05/17,"Duhabi Bhaluwa, Sunsari",50.04,National Level
21,Global IME Laghubitta Bittiya Sanstha Ltd.,2013/05/19,"Besisahar, Lamjung",33.09,National Level
22,Mahuli Laghubitta Bittiya Sanstha Ltd.,2020/11/23*,"Bakdhuwa, Saptari",18.66,National Level
23,Suryodaya Laghubitta Bitiya Sanstha Ltd.,2020/02/22*,"Putalibazar, Syanja",21.5,National Level
24,Meromicrofinance Laghubitta Bittiya Sanatha Ltd.,2013/07/18,"Battar, Nuwakot",100,National Level
25,Samata Laghubitta Bittiya Sanatha Ltd.,2013/08/25,"Pipra, Simara",22.93,"10 District Level (Bara,Rautahat,Sarlahi,Mahottari,Sindhuli, Parsa,Sunsari,Dhanusa, Udaypur, Chitwan)"
26,RSDC Laghubitta Bitiya Sanstha Ltd.,2013/09/11,"Butwal, Rupandehi",67.15,National Level
27,Samudayik  Laghubitta Bitiya Sanstha Ltd.,2014/04/13,"Banepa, Kavre",13.2,"4-10 District Level (Sindhupalchowk, Kavrepalanchowk, Dolakha, Ramechhap, Solukhumbu,Okhaldhunga, Nuwakot, Khotang, Bhojpur, Sankhuasabha)"
28,National Microfinance Laghubitta Bittiya Sanstha Ltd.,2014/07/02,"Nilkantha, Dhading",26.4,National Level
29,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,2014/08/15*,"Butawal, Rupandehi",98.25,National Level
30,Nepal Sewa Laghubitta Bittiya Sanstha Ltd.,2014/10/26,"Phataksila, Sindhupalchok",6.15,Province No. 3
31,Unnati Sahakarya Laghubitta Bittiya Sanstha Ltd.,2020/07/10*,"Siddarthanagar, Rupandehi",14.95,National Level
32,Swadeshi Lagubitta Bittiya Sanstha Ltd.,2014/12/31,"Itahari, Sunsari",27.6,National Level
33,NADEP Laghubitta Bittiya Sanstha Ltd.,2015/05/15,"Gajuri, Dhading",40.48,National Level
34,Support Laghubitta Bittiya Sanstha Ltd.,2015/07/12,"Hasposa, Itahari",6.6,"4-10 Distrit Level (Sunsari, Terathum, Dhankuta, Panchthar, Bhojpur, Udayapur, Khotang, Sindhuli, Ramechhap, Makwanpur)"
35,Aarambha Chautari Laghubitta Bittiya Sanstha Ltd.,2016/01/03,"Banepa, Kavre",26.34,National Level
36,Ghodighoda  Laghubitta Bittiya Sanstha Ltd.,2016/06/12,"Sripur Belouri, Kanchanpur",2.76,"4-10 District Level (Kailali,Kanchanpur,Banke,Bardiya,Dang,Surkhet,Doti,Dadeldhura,Baitadi,Darchula)"
37,Asha Lagubitta Bittiya Sastha Ltd.,2016/08/29,Madanpur Nuwakot,23.23,National Level
38,Nepal Agro Microfinance Bittiya Sastha Ltd.,2016/09/20,"Pokhara, Kaski",5.72,"4-10 District Level (Kaski, Parbat, Baglung, Gulmi, Pyuthan, Rolpa, Tanahun, Salyan, Palpa, Lamjung)"
39,Gurans LaghuBitta Bittiya Sastha Ltd.,2016/11/16,"Dhankutabazaar, Dhankuta",8.34,Province No. 1
40,Ganapati Microfinance Bittiya Sastha Ltd.,2016/12/09,"Shuklagandaki, Tanahu",11.07,National Level
41,Infinity Laghubitta Bittiya Sanstha Ltd,2017/01/20,"Gaidakot, Nawalparasi",26.07,National Level
42,Adhikhola Laghubitta Bittiya Sanstha Ltd.,2017/02/12,"Bhirkot, Syangja",10,"4-10 District Level (Syangja, Kaski, Lamjung, Tanahu, Nawalparasi, Rupandehi, Palpa, Arghakhachi, Gulmi, Kapilvastu)"
43,Swabhiman Laghubitta Bittiya Sanstha Ltd.,2017/05/22,"Tilottama, Rupandehi",7.67,"4-10 District Level ( Rupendehi, Gulmi, Rolpa, Salyan, Syangja, Palpa, Arghakhachi, Nawalparasi, Kabilbastu, Pyuthan)"
44,Sparsha Laghubitta Bittiya Sanstha Ltd.,2017/07/13,"Pokhara Lekhnath, Kaski",11.2,"4-10 District Level (Kaski, Baglung, Myagdi, Lamjung, Tanahu, Nawalparasi, Parbat, Gulmi, Arghakhachi, Gorkha)"
45,Sabaiko Laghubitta Bittiya Sanstha Ltd.,2017/07/14,"Bandipur, Tanahu",18.65,National Level
46,Sadhana Laghubitta Bittiya Sanstha Ltd.,2017/10/30,"Gorkha, Gorkha",21.78,National Level
47,NIC Asia Laghubitta Bittiya Sanstha Ltd.,2017/11/21,"Bherimalika, Jajarkot",148,National Level
48,Sarathi Nepal Laghubitta Bittiya Sanstha Ltd.,2020/09/21*,"Banepa, Kavre",23.54,National Level
49,Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,2020/07/26*,"Siddarthanagar, Ruphandehi",8.23,Provine No. 5
50,Summit Laghubitta Bittiya Sanstha Limited,2020/09/22*,"Gorkha, Gorkha",39.43,National Level
51,Buddha Jyoti Laghubitta Bittiya Sanstha Ltd.,2018/06/20,"Lumbini Sanskritik, Rupundehi",1.2,"4-10 District Level(Palpa, Arghakhanchi, Gulmi,Baglung, Rupundehi, Nawalparasi, Kapilbastu, Mustang, Myagdi,Rukum)"
52,Samaj Laghubitta Bittiya Sanstha Ltd.,2018/05/15,"Malangawa,Sarlahi",2,"1-3 District Level (Sarlahi, Mahottari, Dhanusha)"
53,Grameen Swayamsewak Laghubitta Bittiya Sanstha Ltd.,2018/10/01,"Hariwan, Sarlahi",4.2,Province No. 2
54,Mahila Laghubitta Bittiya Sanstha Ltd.,2018/10/18,"Banepa, Sanga, Kavrepalanchok",6,National Level
55,Manushi Laghubitta Bittiya Sanstha Ltd.,2018/11/17,"Banepa, Bhaisepati, Kavrepalanchok",7,National Level
56,Adarsha Laghubitta Bittiya Sanstha Ltd.,2018/12/16,"Banepa, Kavrepalanchok",1.4,Province No. 3
57,Unique Nepal Laghubitta Bittiya Sanstha Ltd.,2018/12/16,"Kohalpur, Banke",6.3,"4 - 10 District (Bardiya, Banke, Kailali, Kanchanpur, Dang, Kapilbastu,Rupandehi, Nawalparasi, Surkhet, Dadeldhura)"
58,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,2020-12-01*,"Pokhara, Kaski",10.78,"19 District (Kaski, Tanahu, Lamjung, Gorkha, Syangja, Dhaging, Chitwan, Nawalparasi, Rupandehi, Palpa,Dang, Pyuthan, Rolpa, Rukum, Salyan, Banke, Bardiya, Kailali, Kapilbastu)"
59,Rastra Utthan Laghubitta Bittiya Sanstha Limited,2019/02/20,"Banepa, Kavrepalanchok",17.5,National Level
60,WEAN Laghubitta Bittiya Sanstha Limited,2019/04/08,"Galchhi, Dhading",1.46,Province No. 3
61,Upakar Laghubitta Bittiya Sanstha Limited,2019/03/27,"Kohalpur, Banke",4.2,Province No. 5
62,Dhaulagiri Laghubitta Bittiya Sanstha Limited,2019/02/19,"Baglung -2 , Baglung",7,National Level
63,CYC Nepal Laghubitta Bittiya Sanstha Limited,2019/03/15,"Baglung -3, Baglung",7,National Level
64,NESDO Samriddha Laghubitta Bittiya Sanstha Limited,2019/03/05,"Kushma, Parbat",17.21,National Level
65,Swastik Laghubitta Bittiya Sanstha Limited,2019/03/26,"Lahan, Siraha",1.2,Province No. 2
66,Shrijanshil Laghubitta Bittiya Sanstha Limited,2019/03/15,"Golbazar, Siraha",7,National Level
67,Kisan Laghubitta Bittiya Sanstha Limited,2020/07/13*,"Dhanagadhi, Kailali",39.28,National Level
68,Jeevan Bikash Laghubitta Bittiya Sanstha Limited,2020/09/07*,"Katahari , Morang",41.07,National Level
69,Gharelu Laghubitta Bittiya Sanstha Limited,2019/03/12,"Banepa,  Kavrepalanchok",7.04,National Level
70,BPW Laghubitta Bittiya Sanstha Limited,2019/04/15,"Banepa, Kavrepalanchok",2.03,Province No. 3
71,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2019/04/15,"Ghorahi, Dang",4.2,Province No. 5
72,Shaligram Laghubitta Bittiya Sanstha Limited,2019/08/20,"Beni, Myagdi",1.68,Gandaki Province
73,Super Laghubitta Bittiya Sanstha Limited,2020/01/15,"Tulshipur, Dang",1.95,Province No. 5
74,Aviyan Laghubitta Bittiya Sanstha Limited,2019/12/17,"Panauti, Kavre",15.25,National Level
75,Deurali Laghubitta Bittiya Sanstha Limited,2020/01/25,"Butwal, Rupandehi",2.4,Province No. 5
76,Khaptad Laghubitta Bittiya Sanstha Limited,2020/07/31,"Godawari, Kailali",2.68,Province No. 7
